c1,c2,c3,item,given,point,caption_semantic,name_simplified
0,0,0,1,1,0,a big tree,tree
0,0,0,2,1,0,a small tree ,tree
0,0,0,3,1,0,a stone,stone
0,0,0,4,1,0,a bunch of red berries,rasberry
0,0,0,5,1,0,a bunch of blue berries,blueberry
0,0,0,6,1,0,a deer antler,antler
3,0,0,12,0,15,a leaf shaped stone,stone
2,0,0,14,0,15,a stick,stick
1,0,0,15,0,15,a bark,bark
12,15,0,16,0,15,some fibers,fiber
16,0,0,17,0,15,a rope,rope
12,14,17,18,0,15,an axe,axe
2,18,0,19,0,65,a raw log,log
12,19,0,20,0,115,a smooth log without bark,log
18,19,0,22,0,15,a quarter of log,log
3,6,0,23,0,15,a refined antler,antler
12,23,0,24,0,15,a teardrop shaped stone,stone
23,24,0,26,0,15,a knife shaped stone,stone
14,26,0,31,0,15,a small stick,stick
16,17,31,32,0,15,a brush,brush
22,24,0,33,0,15,a wooden container,container
4,23,33,34,0,15,red paint,paint
5,23,33,35,0,15,blue paint,paint
1,18,0,36,0,335,a big log with bark,log
12,36,0,37,0,395,a big log  without bark,log
20,24,0,101,0,165,a wooden log with a elliptical shape hole in the body,totem
12,20,0,102,0,215,a wooden log with a rectangular shape hole in the body,totem
20,26,0,103,0,225,a wooden log with a rhombus-like hole in the body,totem
34,101,0,104,0,285,a red wooden log with a elliptical shape hole in the body,totem
34,102,0,105,0,475,a red wooden log with a rectangular shape hole in the body,totem
34,103,0,106,0,405,a red wooden log with a rhombus-like shape hole in the body,totem
35,101,0,107,0,275,a blue wooden log with a elliptical shape hole in the body,totem
35,102,0,108,0,465,a blue wooden log with a rectangular shape hole in the body,totem
35,103,0,109,0,385,a blue wooden log with a rhombus-like shape hole in the body,totem
32,34,101,110,0,565,a wooden log with a red elliptical shape hole in the body,totem
32,34,102,111,0,795,a wooden log with a red rectangular shape hole in the body,totem
32,34,103,112,0,575,a wooden log with a red rhombus-like shape hole in the body,totem
32,35,101,113,0,545,a wooden log with a blue elliptical shape hole in the body,totem
32,35,102,114,0,805,a wooden log with a blue rectangular shape hole in the body,totem
32,35,103,115,0,535,a wooden log with a blue rhombus-like shape hole in the body,totem
34,110,0,116,0,645,a red wooden log with a red elliptical shape hole in the body,totem
34,111,0,117,0,905,a red wooden log with a red rectangular shape hole in the body,totem
34,112,0,118,0,705,a red wooden log with a red rhombus-like shape hole in the body,totem
34,113,0,119,0,835,a red wooden log with a blue elliptical shape hole in the body,totem
34,114,0,120,0,985,a red wooden log with a blue rectangular shape hole in the body,totem
34,115,0,121,0,825,a red wooden log with a blue rhombus-like shape hole in the body,totem
35,110,0,122,0,785,a blue wooden log with a red elliptical shape hole in the body,totem
35,111,0,123,0,975,a blue wooden log with a red rectangular shape hole in the body,totem
35,112,0,124,0,775,a blue wooden log with a red rhombus-like shape hole in the body,totem
35,113,0,125,0,655,a blue wooden log with a blue elliptical shape hole in the body,totem
35,114,0,126,0,895,a blue wooden log with a blue rectangular shape hole in the body,totem
35,115,0,127,0,695,a blue wooden log with a blue rhombus-like shape hole in the body,totem
32,34,104,128,0,645,a red wooden log with a red elliptical shape hole in the body,totem
32,34,105,129,0,905,a red wooden log with a red rectangular shape hole in the body,totem
32,34,106,130,0,705,a red wooden log with a red rhombus-like shape hole in the body,totem
32,34,107,131,0,785,a blue wooden log with a red elliptical shape hole in the body,totem
32,34,108,132,0,975,a blue wooden log with a red rectangular shape hole in the body,totem
32,34,109,133,0,775,a blue wooden log with a red rhombus-like shape hole in the body,totem
32,35,104,134,0,835,a red wooden log with a blue elliptical shape hole in the body,totem
32,35,105,135,0,985,a red wooden log with a blue rectangular shape hole in the body,totem
32,35,106,136,0,825,a red wooden log with a blue rhombus-like shape hole in the body,totem
